Grid,Year,B.burgdorferi,Anaplasma.phagocytophilum,B..miyamotoi,POWV.DTV,Babesia.microti,R..parkeri,R..rickettsi,Tots,inf,PLlarv.mn,TSlarv.mn,PL.SumLyr,PL.mnRawLyr,TS.SumLyr,TS.mnRawLyr,PLfedLarv,TSfedLarv,PLlarv.mnScale,PL.mnRawLyrScale,PLfedLarvScale,TSlarv.mnScale,TS.mnRawLyrScale,TSfedLarvScale
teaE,2014,0,0,0,0,0,0,0,0,0,10.41935484,2,23,11.5,17,8.5,119.8225806,17,-0.0769798,-0.75915339,-0.848320223,0.388248087,-0.780213166,-0.848320223
teaE,2014,0,0,0,0,0,0,0,0,0,10.41935484,2,23,11.5,17,8.5,119.8225806,17,-0.0769798,-0.75915339,-0.848320223,0.388248087,-0.780213166,-0.848320223
teaE,2014,0,0,0,0,0,0,0,0,0,10.41935484,2,23,11.5,17,8.5,119.8225806,17,-0.0769798,-0.75915339,-0.848320223,0.388248087,-0.780213166,-0.848320223
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,1,0,0,0,0,0,0,1,1,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,1,0,0,0,0,0,0,1,1,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,1,0,0,0,0,0,0,1,1,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,1,0,0,0,0,0,1,1,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,1,0,0,0,1,0,0,2,1,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
teaC,2014,0,0,0,0,0,0,0,0,0,22.09677419,1,18,9,7,3.5,198.8709677,3.5,1.412259215,-0.794147372,-0.606870378,-0.383245954,-1.149949989,-0.606870378
greenC,2014,0,1,0,0,0,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,1,0,0,0,1,0,0,2,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,1,0,0,0,0,0,0,1,1,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,1,0,0,0,0,0,0,1,1,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryE,2014,0,0,0,0,0,0,0,0,0,35.08333333,3.625,24,8,16,5.333333333,280.6666667,19.33333333,3.068454814,-0.808144965,-0.357028988,1.641925905,-1.014379821,-0.357028988
henryC,2014,0,0,0,0,0,0,0,0,0,25.68181818,1.4,26,8.666666667,9,3,222.5757576,4.2,1.869465316,-0.798813236,-0.534465133,-0.074648338,-1.186923671,-0.534465133
henryC,2014,0,0,0,0,0,0,0,0,0,25.68181818,1.4,26,8.666666667,9,3,222.5757576,4.2,1.869465316,-0.798813236,-0.534465133,-0.074648338,-1.186923671,-0.534465133
greenE,2014,0,0,0,0,1,0,0,1,1,12.18181818,2.043478261,12,6,20,10,73.09090909,20.43478261,0.147789825,-0.83614015,-0.991060073,0.421791306,-0.669292119,-0.991060073
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,1,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,1,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,1,0,0,0,0,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,1,0,0,0,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,0,0,0,0,0,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,1,0,0,0,1,0,0,2,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
greenC,2014,0,0,0,0,1,0,0,1,1,17,2.185185185,15,7.5,18,9,127.5,19.66666667,0.762259865,-0.815143761,-0.824869881,0.531117354,-0.743239484,-0.824869881
henryC,2014,0,0,0,0,0,0,0,0,0,25.68181818,1.4,26,8.666666667,9,3,222.5757576,4.2,1.869465316,-0.798813236,-0.534465133,-0.074648338,-1.186923671,-0.534465133
